data,label,split
mirar,ESP,train
arremeter,ESP,train
manecilla,ESP,train
chiste,ESP,train
mensajeria,ESP,train
penuria,ESP,train
fumigacion,ESP,train
acelga,ESP,train
paganismo,ESP,train
comandar,ESP,train
giratoria,ESP,train
provechoso,ESP,train
precario,ESP,train
ruso,ESP,train
capturar,ESP,train
neurosis,ESP,train
entretener,ESP,train
bombilla,ESP,train
coreografo,ESP,train
silbador,ESP,train
tocable,ESP,train
bullicioso,ESP,train
sacudir,ESP,train
factor,ESP,train
ginebra,ESP,train
epistola,ESP,train
resorte,ESP,train
consejera,ESP,train
femoral,ESP,train
suburbio,ESP,train
matanza,ESP,train
canonico,ESP,train
lactante,ESP,train
alteza,ESP,train
saludable,ESP,train
enganoso,ESP,train
difuminar,ESP,train
desterrar,ESP,train
alcoholico,ESP,train
concepto,ESP,train
motriz,ESP,train
pelear,ESP,train
tributario,ESP,train
conga,ESP,train
minera,ESP,train
operante,ESP,train
berenjena,ESP,train
rasurar,ESP,train
loma,ESP,train
mareado,ESP,train
desestimar,ESP,train
grandote,ESP,train
simbiotico,ESP,train
truncado,ESP,train
drogadicto,ESP,train
castilla,ESP,train
socia,ESP,train
resta,ESP,train
ronroneo,ESP,train
descubrir,ESP,train
azucena,ESP,train
indoloro,ESP,train
coja,ESP,train
evocadora,ESP,train
vaquera,ESP,train
expulsar,ESP,train
bodega,ESP,train
goce,ESP,train
mapa,ESP,train
redentora,ESP,train
explicable,ESP,train
estrago,ESP,train
medida,ESP,train
agarrotado,ESP,train
goteo,ESP,train
entretanto,ESP,train
intestinal,ESP,train
afectuoso,ESP,train
grafologo,ESP,train
zoologo,ESP,train
roto,ESP,train
tocino,ESP,train
fijadora,ESP,train
azucarado,ESP,train
cuenta,ESP,train
espigar,ESP,train
italico,ESP,train
madrugar,ESP,train
baba,ESP,train
regala,ESP,train
rapida,ESP,train
local,ESP,train
liberal,ESP,train
bulevar,ESP,train
bamba,ESP,train
bancarrota,ESP,train
fiero,ESP,train
almidon,ESP,train
adversaria,ESP,train
puntero,ESP,train
banderilla,ESP,train
desayunar,ESP,train
aldeana,ESP,train
poderosa,ESP,train
odontologa,ESP,train
inservible,ESP,train
vivaz,ESP,train
alfareria,ESP,train
atascar,ESP,train
decimal,ESP,train
rebuscar,ESP,train
cargadora,ESP,train
pura,ESP,train
broche,ESP,train
palpito,ESP,train
acuatico,ESP,train
militar,ESP,train
churro,ESP,train
depositar,ESP,train
cable,ESP,train
